region,name,address,x,y,url,summary,atmosphere,purpose,taste,companion,menu,main_dessert,main_coffee,parking
나주,비클래시,전남 나주시 노안면 학산리 544-1,126.75254583808493,35.06421344998641,http://place.map.kakao.com/62528423,"나주에 위치한 대형 베이커리 카페 비클래시는 승촌보 인근에 자리하고 있으며, 아름다운 주변 풍경과 함께 다양한 디저트를 즐길 수 있는 곳입니다. 넓은 주차 공간을 갖추고 있어 방문이 편리하며, 특히 수제 케이크와 파이류가 인기입니다.",감성적인; 넓은; 뷰맛집; 자연; 조용한; 편안한,가족; 데이트; 드라이브; 디저트; 친구; 카페 투어,달달한; 담백한; 맛있는; 수제; 신선한,가족; 연인; 친구; 혼자,차; 커피; 케이크; 크로와상; 타르트; 파이,수제케이크; 체리파이,바닐라라떼,주차 가능; 주차 넓음
나주,월하당,전남 나주시 봉황로 110-39,126.727934423437,34.9814648520915,http://place.map.kakao.com/108650546,"나주에 위치한 월하당은 아이, 반려견 동반이 모두 가능한 넓은 대형 카페입니다. 커피와 티 종류가 다양하며, 소금빵, 당근 케이크 등 다양한 디저트와 베이커리 메뉴를 맛볼 수 있습니다. 감성적인 인테리어와 넓은 공간, 정원을 갖추고 있어 편안한 시간을 보낼 수 있습니다.",감성적인; 넓은; 대형; 예쁜; 편안한; 핑크뮬리,데이트; 디저트; 아이 동반; 애견 동반; 카페 투어; 휴식,고소한; 달달한; 신선한; 조화로운; 진한,가족; 반려동물 동반; 아이 동반; 연인; 친구·지인; 혼자,블렌딩티; 생과일주스; 소금빵; 케이크; 쿠키; 크로플,당근케이크; 레어치즈케이크; 소금빵,아메리카노; 월하당라떼; 카페라떼,주차 가능; 주차 넓음
나주,리비에르,전남 나주시 남평읍 강변1길 76,126.848910128723,35.0459999511229,http://place.map.kakao.com/1574332115,"나주 드들강변에 위치한 대형 카페 리비에르는 탁 트인 통창과 아름다운 강변 뷰를 자랑합니다. 다양한 디저트와 음료를 즐길 수 있으며, 넓은 공간과 편리한 좌석 구성으로 편안한 시간을 보낼 수 있습니다. 특히 일몰 시간에 방문하면 환상적인 풍경을 감상할 수 있습니다.",감성적인; 뷰 맛집; 탁 트인; 편안한,가족 모임; 나들이; 디저트; 카페 투어,달달한,가족; 어린이 동반,빵; 음료; 주스; 커피; 케이크,디저트; 케이크,커피,주차 가능
나주,데일리박스,전남 나주시 교육길 14,126.77820201188457,35.01846601583319,http://place.map.kakao.com/1100180383,"나주 동신대학교 한방병원 1층에 위치한 데일리박스는 넓은 주차 공간과 함께 다양한 종류의 갓 구운 빵을 제공하는 베이커리 카페입니다. 식빵, 소금빵, 케이크 등 다채로운 디저트와 함께 커피 메뉴도 즐길 수 있으며, 디카페인 변경도 가능합니다.",넓은 주차장; 트렌디한; 편안한,가족 나들이; 디저트; 빵 쇼핑; 친구 만남; 카페 투어,갓 구운; 다양한; 신선한,가족; 친구·지인,디저트; 소금빵; 식빵; 커피; 케이크; 호두과자,소금빵; 큐브식빵,라떼; 아메리카노,주차 가능; 주차 넓음
나주,동그라미테이블,전남 나주시 쌍산3길 21,126.79569764266974,35.02820456907674,http://place.map.kakao.com/1855787129,"나주 빛가람동에 위치한 동그라미테이블은 브런치, 디저트, 음료, 와인까지 즐길 수 있는 감성적인 브런치 카페입니다. 깔끔하고 예쁜 인테리어와 좋은 분위기로 데이트 코스로도 적합하며, 가게 주변에 주차 공간이 넉넉하고 반려동물 동반이 가능합니다.",감성적인; 깔끔한; 데이트하기좋은; 예쁜; 조용한,데이트; 디저트; 모임; 브런치; 차마시기,맛있는; 시그니처디저트; 풍미가득한,가족; 반려동물 동반; 연인; 친구·지인,디저트; 브런치; 와인; 음료; 커피; 파스타,시그니처 디저트,커피,가게 주변 주차가능; 주차 널널
나주,설빙 전남나주혁신도시점,전남 나주시 배멧1길 50,126.79114596926786,35.020760454246336,http://place.map.kakao.com/25782002,"나주혁신도시에 위치한 여러 카페들은 깔끔하고 따뜻한 분위기와 함께 다양한 음료와 디저트를 판매하고 있습니다. 특히 크로플, 케이크 등 시그니처 메뉴가 인기이며, 일부 카페는 반려동물 동반 및 주차도 가능합니다.",감성적인; 깔끔한; 넓은; 따뜻한; 이국적인,데이트; 디저트; 수다; 커피; 휴식,달달한; 맛있는,반려동물 동반; 연인; 친구·지인,샌드위치; 스무디; 커피; 케이크; 쿠키; 크로플,케이크; 크로플; 티그레,커피,주차 가능; 주차 협소
나주,마마스롱,전남 나주시 남평읍 강변1길 65-13,126.849218661038,35.0439145515652,http://place.map.kakao.com/214073367,"나주 지역 여러 카페들은 딸기 티라미수 케이크, 바질 크림치즈 베이글, 잠봉 소금빵 등 다양한 디저트와 음료를 제공합니다. 일부 카페는 멋진 풍경이나 예쁜 정원을 갖추고 있으며, 주차 지원이나 대중교통 이용 정보를 제공하기도 합니다.",감성적인; 예쁜; 조용한; 편안한; 힙한,간식; 데이트; 디저트; 수다; 카페 투어,고소한; 달달한; 바삭한; 신선한; 진한,가족; 연인; 친구·지인; 혼자,마카롱; 베이글; 샌드위치; 케이크; 쿠키; 크로플,딸기 티라미수; 마카롱; 소금빵,라떼; 아메리카노,정보 없음; 주차 가능; 주차 지원
나주,스윗데이즈,전남 나주시 문화로 81,126.7743437350428,35.01023652500368,http://place.map.kakao.com/1596785126,"나주혁신도시에 위치한 스윗데이즈는 명란감자소금빵과 반미소금빵 등 큼직한 디저트 메뉴를 제공하는 브런치 카페입니다. 커피 맛도 좋고 다양한 디저트가 준비되어 있으며, 친절한 서비스와 앤틱한 인테리어가 특징입니다.",감성적인; 앤틱한; 조용한; 편안한,가벼운 식사; 디저트; 브런치; 카페 투어,고소한; 달달한; 부드러운,연인; 친구·지인; 혼자,라떼; 소금빵; 에이드; 커피; 케이크,반미소금빵; 소금빵,라떼,S타워 지하주차장
나주,투벤,전남 나주시 함박산길 11,126.721764158294,35.0403505261743,http://place.map.kakao.com/470850143,"2023년 한국 소비자 산업평가 카페 디저트 부문 우수상 수상 경력이 있는 나주 대형 카페 투벤은 국내산 유기농 밀가루와 좋은 재료로 만든 다양한 빵을 맛볼 수 있습니다. 통창으로 시원한 뷰를 감상할 수 있으며, 애견 동반 시 외부 공간 이용이 가능합니다.",감성적인; 넓은; 대형; 시원한; 통창뷰,나들이; 단체 모임; 디저트; 반려동물 동반; 카페 투어,다양한; 신선한; 유기농,단체; 반려동물 동반; 혼자,디저트; 빵; 음료,빵,,넓음; 주차 가능
나주,세컨플로어,전남 나주시 호수로 68,126.78992796336,35.0133129628059,http://place.map.kakao.com/1723439310,나주 혁신도시에 위치한 세컨플로어는 통창 뷰와 함께 맛있는 빙수와 케이크 등 다양한 디저트를 즐길 수 있는 가성비 좋은 카페입니다. 편안한 분위기에서 커피와 디저트를 맛보며 여유로운 시간을 보내기 좋습니다.,감성적인; 통창뷰; 편안한,가벼운 점심; 데이트; 디저트; 카페 투어,달달한; 맛있는; 신선한,연인; 친구·지인; 혼자,브라우니; 빙수; 커피; 케이크; 쿠키; 파르페,망고빙수; 바스크 치즈케이크; 케이크,아이스 콜드브루,갓길 주차
